                    V1                   V2                   V3                   V4                 V5
1    0.222207525815062    0.220925629378454    0.220947078690922    0.220946722595169 EQ.90..WEFFL.10..A
2   0.0381268044707977   0.0381271610890724   0.0381271610689709   0.0381271610689721 EQ.90..WEFFL.10..B
3   -0.338936136296452   -0.338865352397456   -0.338865365053745   -0.338865365051482 EQ.90..WEFFL.10..C
4  0.00688902114855564  0.00639189475050331  0.00643114093089597  0.00642806271744667  EQ.90..WMID.10..A
5  0.00431760044033547 -0.00740497072481756 -0.00232998688627981 -0.00125492069464015  EQ.90..WMID.10..C
6   -0.135518918490386       0.107834108034     -0.1199932550133     0.10436464635281       WEFFL.100..A
7  -0.0405890359691382  -0.0855221519885338   -0.101127639015052  -0.0771124766400414       WEFFL.100..B
8     2.09703495960567    -9.22405191859399     2.27404942808594     -10.729239850245       WEFFL.100..C
9  -0.0680511114302873  -0.0694807636950138  -0.0696100179237055  -0.0696221096031089        WEFFL.10..A
10 -0.0880975493155779  -0.0809198797720505  -0.0814719957245689   -0.081429330423725        WEFFL.10..B
11     2.2073277389408    -14.0847335583611     2.42095186934024    -15.3198593489914         WMID.10..A
12  -0.117513778728701   -0.117467219891807   -0.117467237656897   -0.117467237650118         WMID.10..B
