                     V1                   V2                   V3                   V4                 V5
1     0.336814880987358  -0.0315191361828893   0.0393973684668723    0.139759356414364 EQ.90..WEFFL.10..A
2   -0.0214852180091076  -0.0133422021965194  0.00519620213831018 -0.00621127508418529 EQ.90..WEFFL.10..B
3   -0.0678700056448616  -0.0421150468521656  -0.0566479679972867  -0.0482568280869424 EQ.90..WEFFL.10..C
4   0.00313368826777044  0.00275354123475402  0.00330727113413187  0.00299648241196537  EQ.90..WMID.10..A
5   0.00288169987429132  0.00356342405519117  0.00219477733461537  0.00288169987429132  EQ.90..WMID.10..C
6   -0.0920871507492248    0.116658979572372   -0.110004607637679    0.142824935219874       WEFFL.100..A
7   -0.0351070390987966  -0.0755637140848939  -0.0986947452018382  -0.0639817264013859       WEFFL.100..B
8   -0.0264847347827661   -0.021053434007321  -0.0248146905055826  -0.0181311251336886       WEFFL.100..C
9   -0.0318398698743747  -0.0227539141657655  -0.0269485863438643  -0.0236755366227167        WEFFL.10..A
10  -0.0697370558423547   0.0278038368777125  -0.0795363279248704 -0.00990945598956117        WEFFL.10..B
11   -0.668355853012605   -0.137462695088326   -0.418901252347871   -0.231273316470565         WMID.10..A
12 -0.00498447455338002 -0.00478756287193782 -0.00464238322099497 -0.00459450401867123         WMID.10..B
