                    MSE               RMSE                R2             Bottle Model
1      2.96517609814009   1.72196866932592              <NA> EQ.80..WEFFL.20..A   ELM
2    0.0198003052695533  0.140713557518646 0.495627607802888 EQ.80..WEFFL.20..B   ELM
3    0.0766475046950009  0.276852857480288              <NA> EQ.80..WEFFL.20..C   ELM
4   0.00663084210116936 0.0814299828144975              <NA>         WMID.50..A   ELM
5  0.000555934027956046 0.0235782532846699 0.744386763179718         WMID.50..B   ELM
6  0.000144179624847295 0.0120074820361013 0.757242237425237         WMID.50..C   ELM
7  0.000111876829727908 0.0105771843950982 0.540229653439365         EMID.50..A   ELM
8  0.000176122026399616 0.0132710974075099              <NA>         EMID.50..B   ELM
9  0.000213226178763582 0.0146022662201311 0.621115231320588         EMID.50..C   ELM
10 0.000629347490793022 0.0250867991340669 0.611934822193183       EEFFL.100..A   ELM
11  0.00270618398440009 0.0520209956113884 0.758702470154756       EEFFL.100..B   ELM
12 0.000115709126058728 0.0107568176548052 0.529389145956506       EEFFL.100..C   ELM
13 0.000175360948923065 0.0132423921148358 0.753191157012278        WEFFL.20..A   ELM
14  0.00144124922038203  0.037963788277542 0.256300614541624        WEFFL.20..B   ELM
